                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97182,                 2.4171,                 1.1563,                0.81876,                 0.3645,                0.58126,                0.42581,                0.98581,                 2.4358,                 1.1396,             0.00036559,             0.00036559,             0.00036559
                      2,                0.96061,                  1.413,                 1.1118,                0.70402,                0.66383,                0.70994,                 0.5003,                 1.0219,                 1.6092,                 1.2308,             0.00072863,             0.00072863,             0.00072863
                      3,                0.95585,                 1.3026,                 1.1262,                0.82153,                0.64546,                0.71958,                0.51271,                 1.0384,                 1.3287,                 1.2378,              0.0010843,              0.0010843,              0.0010843
                      4,                0.94553,                 1.1786,                 1.1113,                0.77147,                0.65409,                0.70945,                0.52288,                 0.9431,                 1.2903,                 1.1253,               0.001078,               0.001078,               0.001078
                      5,                0.91581,                 1.0698,                 1.0915,                0.79744,                0.70528,                0.77442,                0.55994,                0.97196,                 1.0102,                 1.1596,               0.001067,               0.001067,               0.001067
                      6,                0.89274,                0.98106,                 1.0737,                0.82785,                0.74493,                0.80172,                0.59592,                0.91889,                0.97112,                 1.1098,               0.001056,               0.001056,               0.001056
                      7,                0.88477,                0.94563,                  1.072,                 0.7944,                0.72001,                0.78009,                0.58746,                0.90961,                0.88615,                 1.1022,               0.001045,               0.001045,               0.001045
                      8,                0.86649,                0.89948,                 1.0669,                0.76312,                0.73706,                0.77853,                0.59295,                0.89079,                0.87072,                 1.0979,               0.001034,               0.001034,               0.001034
                      9,                0.83274,                0.84508,                 1.0499,                0.75441,                0.78501,                0.78274,                0.59678,                0.89465,                0.80791,                 1.0998,               0.001023,               0.001023,               0.001023
                     10,                0.83605,                0.83364,                 1.0482,                0.82839,                0.74149,                0.80113,                0.61842,                0.88765,                0.79161,                 1.0828,               0.001012,               0.001012,               0.001012
                     11,                0.82474,                 0.8046,                 1.0495,                0.81942,                0.76807,                0.81148,                0.62511,                0.83531,                0.76267,                 1.0599,               0.001001,               0.001001,               0.001001
                     12,                0.80792,                0.77869,                 1.0379,                0.81965,                0.75923,                0.79647,                0.60432,                0.86197,                0.78079,                 1.0874,             0.00099001,             0.00099001,             0.00099001
                     13,                0.82336,                0.76313,                 1.0441,                0.81888,                0.72306,                0.79591,                0.59897,                0.91084,                0.84781,                 1.0976,             0.00097901,             0.00097901,             0.00097901
                     14,                0.78089,                0.73664,                 1.0219,                 0.7418,                0.80368,                0.80891,                0.62449,                 0.8559,                0.77113,                 1.0658,             0.00096801,             0.00096801,             0.00096801
