epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,898.507,1.00068,2.96843,1.15356,0.69029,0.54072,0.59226,0.45092,1.07435,1.96268,1.22849,0.00028886,0.00028886,0.00028886
2,1683.47,0.8805,1.30742,1.02773,0.602,0.58858,0.58973,0.41197,1.14209,1.75276,1.27297,0.000530536,0.000530536,0.000530536
3,3159.08,0.85247,1.08027,1.02567,0.63942,0.50821,0.5423,0.38828,1.25245,1.93264,1.36784,0.000712818,0.000712818,0.000712818
4,4669.34,0.83512,0.92261,1.00987,0.63532,0.59372,0.60025,0.42386,1.13641,1.74125,1.34968,0.000781033,0.000781033,0.000781033
5,7868.54,0.85186,0.90022,1.01328,0.73287,0.50987,0.62156,0.4358,1.16932,1.85411,1.30747,0.000671044,0.000671044,0.000671044
6,9580.5,0.77833,0.74164,0.98338,0.69933,0.64978,0.67277,0.51013,1.03883,1.31358,1.25661,0.000561055,0.000561055,0.000561055
7,10522.2,0.73835,0.66938,0.95301,0.73848,0.69212,0.69815,0.5282,1.05271,1.29313,1.21162,0.000451066,0.000451066,0.000451066
8,11359,0.70963,0.60415,0.96233,0.86598,0.66165,0.74389,0.5823,0.9708,1.19294,1.19089,0.000341077,0.000341077,0.000341077
9,12170.4,0.65766,0.561,0.92656,0.7696,0.74294,0.75431,0.61629,0.91949,1.17677,1.15778,0.000231088,0.000231088,0.000231088
10,12957.6,0.63448,0.50912,0.90765,0.80889,0.73741,0.77747,0.62879,0.89582,1.16135,1.11608,0.000121099,0.000121099,0.000121099
