epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.1592,0.85843,1.43475,1.13531,0.73031,0.68686,0.70743,0.52365,0.93434,1.26235,1.3114,0.000367797,0.000367797,0.000367797
2,83.2071,0.99564,1.10198,1.20345,0.65338,0.65077,0.68863,0.48171,1.06358,1.75279,1.32167,0.000730823,0.000730823,0.000730823
3,124.755,1.00513,1.06605,1.20821,0.6967,0.63198,0.69383,0.49996,1.05005,1.57178,1.35757,0.00108652,0.00108652,0.00108652
4,166.281,0.98176,1.01548,1.20038,0.7736,0.63355,0.69552,0.5132,0.98687,1.08483,1.29178,0.001078,0.001078,0.001078
5,207.586,0.93676,0.92563,1.16804,0.79707,0.69108,0.74828,0.55688,0.94487,0.93178,1.22097,0.001067,0.001067,0.001067
6,249.093,0.89544,0.84907,1.14361,0.79086,0.69568,0.76933,0.587,0.87094,0.86653,1.17021,0.00105601,0.00105601,0.00105601
7,290.17,0.86411,0.81373,1.12249,0.82443,0.7705,0.81429,0.6267,0.85773,0.75194,1.15419,0.00104501,0.00104501,0.00104501
8,331.342,0.84224,0.77961,1.11174,0.789,0.77152,0.81093,0.62034,0.84294,0.76339,1.16172,0.00103401,0.00103401,0.00103401
9,371.891,0.81654,0.74084,1.09887,0.7964,0.79861,0.81728,0.63287,0.84406,0.74164,1.13854,0.00102301,0.00102301,0.00102301
10,412.977,0.79491,0.72151,1.0915,0.76665,0.78632,0.81053,0.63307,0.8046,0.73174,1.13431,0.00101201,0.00101201,0.00101201
11,453.683,0.78022,0.6872,1.07784,0.81056,0.80317,0.8284,0.6499,0.77339,0.70298,1.10682,0.00100101,0.00100101,0.00100101
12,494.75,0.76462,0.68275,1.06515,0.78697,0.77126,0.81135,0.63646,0.78848,0.70842,1.11614,0.000990012,0.000990012,0.000990012
13,536.242,0.75511,0.65969,1.06514,0.80221,0.77098,0.81006,0.63249,0.81816,0.69507,1.13169,0.000979013,0.000979013,0.000979013
14,577.698,0.74414,0.64101,1.06168,0.81116,0.8106,0.84111,0.65961,0.78356,0.67091,1.10547,0.000968014,0.000968014,0.000968014
15,618.812,0.71898,0.61563,1.04275,0.78486,0.7689,0.82384,0.64526,0.75823,0.70013,1.09913,0.000957015,0.000957015,0.000957015
16,659.499,0.71633,0.61251,1.04423,0.81029,0.81044,0.82328,0.63316,0.78934,0.692,1.10909,0.000946016,0.000946016,0.000946016
17,700.101,0.69339,0.57912,1.03227,0.81262,0.78906,0.81691,0.65625,0.74983,0.64552,1.0921,0.000935018,0.000935018,0.000935018
18,740.659,0.69012,0.58209,1.03068,0.79897,0.80147,0.82078,0.65107,0.76646,0.65649,1.09139,0.000924019,0.000924019,0.000924019
19,782.113,0.67768,0.55881,1.02651,0.83667,0.79514,0.82369,0.65961,0.73653,0.62722,1.07769,0.00091302,0.00091302,0.00091302
20,822.596,0.6855,0.55272,1.0239,0.82035,0.81817,0.83708,0.66695,0.76412,0.6166,1.10292,0.000902021,0.000902021,0.000902021
21,863.893,0.65388,0.53022,1.00467,0.82194,0.82418,0.83156,0.66137,0.74984,0.62916,1.08787,0.000891022,0.000891022,0.000891022
22,907.677,0.6535,0.52338,1.01018,0.77154,0.80709,0.83148,0.65836,0.76998,0.6285,1.09964,0.000880023,0.000880023,0.000880023
23,948.877,0.64134,0.51644,1.00363,0.851,0.78789,0.84153,0.67252,0.74888,0.61142,1.09774,0.000869024,0.000869024,0.000869024
24,993.588,0.6372,0.51907,0.99796,0.82847,0.80803,0.83284,0.66658,0.72733,0.61319,1.07827,0.000858025,0.000858025,0.000858025
25,1036.59,0.6273,0.50943,0.99561,0.87258,0.78086,0.84486,0.67773,0.75058,0.59915,1.11364,0.000847026,0.000847026,0.000847026
26,1078.2,0.62699,0.5103,0.9958,0.84158,0.82021,0.85549,0.68399,0.73821,0.56851,1.09568,0.000836027,0.000836027,0.000836027
27,1120.52,0.61726,0.50147,0.98795,0.83186,0.78856,0.84091,0.67867,0.74403,0.64668,1.08916,0.000825029,0.000825029,0.000825029
28,1163.54,0.61211,0.48061,0.98024,0.82215,0.83416,0.8574,0.68515,0.74473,0.61498,1.10136,0.00081403,0.00081403,0.00081403
29,1205.8,0.5983,0.4738,0.982,0.7958,0.82462,0.83036,0.66862,0.74663,0.6353,1.09467,0.000803031,0.000803031,0.000803031
30,1246.69,0.59491,0.46817,0.98043,0.85513,0.81455,0.85511,0.68615,0.73738,0.58663,1.10971,0.000792032,0.000792032,0.000792032
31,1288.21,0.58643,0.46063,0.97256,0.85464,0.79809,0.85414,0.68928,0.72075,0.6001,1.08484,0.000781033,0.000781033,0.000781033
32,1329.75,0.57237,0.44871,0.96898,0.84675,0.80418,0.84128,0.67925,0.73653,0.59436,1.09198,0.000770034,0.000770034,0.000770034
33,1373.18,0.5815,0.44762,0.97258,0.85488,0.77715,0.84067,0.67417,0.73336,0.6147,1.09166,0.000759035,0.000759035,0.000759035
34,1420.06,0.57341,0.44611,0.9706,0.82978,0.82682,0.84184,0.6692,0.73944,0.61788,1.10908,0.000748036,0.000748036,0.000748036
35,1462.55,0.57002,0.44007,0.96202,0.83132,0.83039,0.84603,0.68425,0.72987,0.58387,1.10496,0.000737037,0.000737037,0.000737037
36,1503.01,0.56658,0.43689,0.96629,0.8351,0.83176,0.84719,0.68062,0.74279,0.59743,1.09057,0.000726038,0.000726038,0.000726038
37,1543.38,0.56736,0.43512,0.96001,0.83081,0.81783,0.84973,0.68131,0.71491,0.61776,1.08658,0.00071504,0.00071504,0.00071504
